Week Ending Date,State,Observed Number,Upper Bound Threshold,Exceeds Threshold,Average Expected Count,Excess Lower Estimate,Excess Higher Estimate,Year,Total Excess Lower Estimate in 2020,Total Excess Higher Estimate in 2020,Percent Excess Lower Estimate,Percent Excess Higher Estimate,Type,Outcome,Suppress,Note
2017-01-14,Alabama,1130,1199,false,1042,0,88,2017,2662,4248,0.0,0.1,Predicted (weighted),All causes,,
2017-01-21,Alabama,1048,1214,false,1057,0,0,2017,2662,4248,0.0,0.0,Predicted (weighted),All causes,,
2017-01-28,Alabama,1026,1233,false,1076,0,0,2017,2662,4248,0.0,0.0,Predicted (weighted),All causes,,
2017-02-04,Alabama,1036,1231,false,1074,0,0,2017,2662,4248,0.0,0.0,Predicted (weighted),All causes,,
2017-02-11,Alabama,1058,1224,false,1071,0,0,2017,2662,4248,0.0,0.0,Predicted (weighted),All causes,,
2017-02-18,Alabama,1060,1230,false,1074,0,0,2017,2662,4248,0.0,0.0,Predicted (weighted),All causes,,
2017-02-25,Alabama,1099,1225,false,1070,0,29,2017,2662,4248,0.0,0.0,Predicted (weighted),All causes,,
2017-03-04,Alabama,1081,1216,false,1060,0,21,2017,2662,4248,0.0,0.0,Predicted (weighted),All causes,,
2017-03-11,Alabama,1011,1210,false,1055,0,0,2017,2662,4248,0.0,0.0,Predicted (weighted),All causes,,
2017-03-18,Alabama,1067,1184,false,1033,0,34,2017,2662,4248,0.0,0.0,Predicted (weighted),All causes,,
2017-03-25,Alabama,1068,1184,false,1031,0,37,2017,2662,4248,0.0,0.0,Predicted (weighted),All causes,,
2017-04-01,Alabama,991,1168,false,1014,0,0,2017,2662,4248,0.0,0.0,Predicted (weighted),All causes,,
2017-04-08,Alabama,1037,1164,false,1009,0,28,2017,2662,4248,0.0,0.0,Predicted (weighted),All causes,,
2017-04-15,Alabama,1017,1154,false,1003,0,14,2017,2662,4248,0.0,0.0,Predicted (weighted),All causes,,
